Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
28,1,2,1945.jpg,50.260920607886,50.7785757604388,52.7785827035018,NaN,1,1,,,,
29,1,2,5120.jpg,52.7903454596444,53.3080018196861,53.9080007933203,NaN,1,1,,,,
30,1,2,9360.jpg,53.9197644550795,54.4374319843969,56.4374268525676,NaN,1,1,,,,
31,1,2,7234.jpg,56.4491917218161,56.9668471762411,58.460968062212,NaN,1,1,,,,
32,1,2,9331.jpg,58.4727332333332,58.9903880840134,59.6845045022742,NaN,1,1,,,,
33,1,2,9331.jpg,59.6962690696505,60.2139317690107,62.3080600810404,NaN,0,1,,,,
34,1,2,9700.jpg,62.3198192147152,62.8374677260772,64.8374761785017,NaN,1,1,,,,
35,1,2,2490.jpg,64.849240745878,65.3668949928137,66.261012377066,NaN,1,1,,,,
36,1,2,2221.jpg,66.2727817743994,66.7904305876336,69.2845753215165,NaN,1,1,,,,
37,1,2,4561.jpg,69.2963241915331,69.8139784384689,72.1081053015114,NaN,1,1,,,,
38,1,2,9561.jpg,72.1198698688877,72.6375244176957,73.4375243573213,NaN,1,1,,,,
39,1,2,7920.jpg,73.4492931509099,73.9669452847393,74.7669437150034,NaN,1,1,,,,
40,1,2,9042.jpg,74.7787097917412,75.2963637368048,75.4963592690947,NaN,1,1,,,,
41,1,2,4571.jpg,75.5081491937444,76.0257765740453,77.1198997542456,NaN,1,1,,,,
42,1,2,9000.jpg,-1.63617233165269,-1.11852200905696,0.681490307332751,NaN,1,1,,,78.7670668789028,
43,1,2,9001.jpg,0.693252157858296,1.21090881977261,2.61090743116029,NaN,1,1,,,,
44,1,2,9390.jpg,2.62267803598252,3.14035069712872,4.74033246404133,NaN,1,1,,,,
45,1,2,7700.jpg,4.75209823890691,5.26975007086412,6.26975308958754,NaN,1,1,,,,
46,1,2,9101.jpg,6.28151977006974,6.79916948892105,8.4932964727127,NaN,1,1,,,,
47,1,2,2720.jpg,8.50506224757783,9.02272223008731,11.5168440216753,NaN,1,1,,,,
48,1,2,2490.jpg,11.5286067778179,12.0462628359874,13.8462706242926,NaN,1,1,,,,
49,1,2,4320.jpg,13.8580315692016,14.375701513497,16.2698128603033,NaN,1,1,,,,
50,1,2,9561.jpg,16.281577125807,16.7992328821047,17.8933515342205,NaN,1,1,,,,
51,1,2,4571.jpg,17.9051151959798,18.4227724616385,19.3168886384019,NaN,1,1,,,,
