Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress
41,1,1,1720.jpg,79.1325151177734,79.6501740597305,80.7442946083174,NaN,1,0,,,
42,1,1,7450.jpg,80.7560567713663,81.2737274863466,82.3678350544069,NaN,1,0,,,
43,1,1,7460.jpg,82.3796213672613,82.8972763848724,84.4972641288477,NaN,1,0,,,
44,1,1,7460.jpg,84.5090284049948,85.0266846300947,85.6267342579522,0.753047101781704,1,0,,,
45,1,1,7402.jpg,85.6384985340992,86.1561061577231,86.7561068822106,NaN,1,0,,,
46,1,1,4656.jpg,86.7678696490038,87.2855234591261,87.6855230365036,NaN,1,0,,,
47,1,1,7351.jpg,87.7090546075342,88.2267229075369,89.1208317434648,NaN,1,0,,,
48,1,1,7340.jpg,89.1325939065136,89.6502573765611,91.6502649233735,NaN,1,0,,,
49,1,1,5628.jpg,91.673793475682,92.191463285053,92.8855652382917,NaN,1,0,,,
50,1,1,2240.jpg,92.897331325672,93.4149929844862,95.3091646099056,NaN,1,0,,,
51,1,1,7230.jpg,95.3326605599868,95.8503028989362,97.6503129211051,NaN,1,0,,,
52,1,1,7330.jpg,97.6738429827819,98.1915146033862,100.285624586439,NaN,1,0,,,
53,1,1,7350.jpg,100.309157968717,100.826868530872,102.920944402314,NaN,1,0,,,
54,1,1,4531.jpg,102.932708074732,103.46218623365,104.344486116272,NaN,1,0,,,
55,1,1,4531.jpg,104.356250090554,104.873907523142,105.779790597036,0.694207306776661,1,0,,,
56,1,1,1720.jpg,105.791555175063,106.309240078044,107.709218524353,NaN,1,0,,,
57,1,1,1720.jpg,107.720981593011,108.238639327479,109.132759634565,0.553032370400615,1,0,,,
58,1,1,5270.jpg,109.144523608848,109.662181947046,111.75634928589,NaN,1,0,,,
59,1,1,7402.jpg,111.768110543315,112.285725713751,114.379860752219,NaN,1,0,,,
60,1,1,5622.jpg,114.391663366187,114.909282460954,116.403408926257,NaN,1,0,,,
61,1,1,4611.jpg,116.415171089306,116.932841502407,117.732829186003,NaN,1,0,,,
62,1,1,7450.jpg,117.744594669653,118.262270818333,120.062259105689,NaN,1,0,,,
63,1,1,4534.jpg,120.074046927897,120.591691078094,121.285812049304,NaN,1,0,,,
64,1,1,7430.jpg,121.297563344939,121.815235569287,123.015227962096,NaN,1,0,,,
65,1,1,7330.jpg,123.026991332634,123.544668085058,124.638769917554,NaN,1,0,,,
66,1,1,7330.jpg,124.650534193715,125.168192531914,126.568198146735,NaN,0,0,,,
67,1,1,7351.jpg,126.579964536009,127.097616233019,129.591758093811,NaN,1,0,,,
68,1,1,7230.jpg,129.603539576696,130.12117195387,132.121184632517,NaN,1,0,,,
69,1,1,7340.jpg,132.132946795566,132.650603926275,135.144740051488,NaN,1,0,,,
70,1,1,4640.jpg,135.156509157605,135.674175948239,136.368284542667,NaN,1,0,,,
71,1,1,4651.jpg,136.380053346918,136.897711685117,138.297724846765,NaN,1,0,,,
72,1,1,7350.jpg,138.309469501211,138.827160139772,139.121242893918,NaN,1,0,,,
73,1,1,4608.jpg,139.133010490681,139.650688148729,141.650686941226,NaN,1,0,,,
74,1,1,4608.jpg,141.66248834772,142.18009476384,143.780104242629,0.564747441327199,1,0,,,
75,1,1,4653.jpg,143.791884518039,144.309542856237,146.509540380895,NaN,1,0,,,
76,1,1,4653.jpg,146.521303751433,147.038959674654,149.533093384889,0.753082420866122,1,0,,,
77,1,1,4653.jpg,149.544899017579,150.062514188015,152.462528859018,0.635352418132243,1,0,,,
78,1,1,2240.jpg,152.474301587601,152.991950567754,154.086132698358,NaN,1,0,,,
79,1,1,5628.jpg,154.097844448683,154.615493730715,154.815489142246,NaN,1,0,,,
80,1,1,4656.jpg,154.827259153986,155.344918397808,156.744927936976,NaN,1,0,,,
81,1,1,7460.jpg,156.756696741228,157.274339382057,157.874339804679,NaN,1,0,,,
82,1,1,4640.jpg,157.886104382706,158.403760004061,159.097877050925,NaN,1,0,,,
83,1,1,4534.jpg,159.109644345808,159.627301476517,160.521420576115,NaN,1,0,,,
84,1,1,5628.jpg,160.533185456021,161.050841982986,161.450841862243,NaN,1,0,,,
85,1,1,7330.jpg,161.462604327156,161.980262665369,163.874392028636,NaN,1,0,,,
86,1,1,4656.jpg,163.886154191685,164.403826114154,166.29793645945,NaN,1,0,,,
87,1,1,7351.jpg,166.309703452454,166.827360885043,168.321485539098,NaN,1,0,,,
88,1,1,7230.jpg,168.333250117124,168.85091117218,169.850911775924,NaN,1,0,,,
89,1,1,4608.jpg,169.86269114571,170.380331371562,172.474462787563,NaN,1,0,,,
90,1,1,4611.jpg,172.486231591814,173.003902306795,174.49800643351,NaN,1,0,,,
91,1,1,4651.jpg,174.509773426515,175.027429953479,177.42744613385,NaN,1,0,,,
92,1,1,1720.jpg,177.439212824989,177.956878710014,180.251000103846,NaN,1,0,,,
93,1,1,7402.jpg,180.262766191241,180.780420906973,181.780423623815,NaN,1,0,,,
