Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,StimDuration,NoiseDuration,RT,Accuracy,experiment,Clock_1,Clock_2,dataClockPressEXP_1,dataClockPressEXP_2,dataClockPressEXP_3,dataClockPressEXP_4,dataClockPressEXP_5,dataOneMinPress_1,dataOneMinPress_2,dataOneMinPressEXP_1,dataOneMinPressEXP_2,dataOneMinPressEXP_3,dataOneMinPressEXP_4
24,1,0,4000.jpg,42.2820680549994,42.9139605229993,44.5103028880003,0.631892467999933,1.59634236500096,NaN,1,0,,,-3.31869388300038,-12.8953958279999,-47.1822435449994,,,,,12905.435067879,12901.023399509,,
1,1,0,6314.jpg,0.0139127919992461,0.646176936999836,1.64338882099946,0.63226414500059,0.997211883999626,NaN,1,1,,,,,,,,,,,,,
2,1,0,8050.jpg,1.66010543299853,2.29197520699927,5.18544355499944,0.631869774000734,2.89346834800017,NaN,1,1,,,,,,,,,,,,,
3,1,0,9045.jpg,5.20184577199871,5.83270425099909,7.82902110800023,0.630858479000381,1.99631685700115,NaN,1,1,,,,,,,,,,,,,
4,1,0,7190.jpg,7.84566397500021,8.47744373400019,9.77458800899876,0.631779758999983,1.29714427499857,NaN,1,1,,,,,,,,,,,,,
5,1,0,5535.jpg,-0.433996136998758,0.197168496000813,2.49246984700039,0.631164632999571,2.29530135099958,NaN,1,1,,,,,,,,10.2234911409996,,-13041.073745177,,,
6,1,0,7130.jpg,2.50915702300153,3.13994470200123,4.23831144700125,0.630787678999695,1.09836674500002,NaN,1,1,,,,,,,,,,-13041.073745177,,,
7,1,0,4490.jpg,4.25484859100106,4.88672641300036,6.58295325000108,0.631877821999296,1.69622683700072,NaN,1,1,5.10317889399994,5.26920911600064,15.3281793139995,15.4942095360002,,,,,,-13041.073745177,,,
8,1,0,4490.jpg,6.59930079400146,7.23116499700154,8.72752061600113,0.631864203000077,1.49635561899959,NaN,0,1,,,15.3281793139995,15.4942095360002,,,,,,-13041.073745177,,,
9,1,0,4490.jpg,8.7440084910013,9.37612398700003,10.7729216740008,0.632115495998733,1.3967976870008,NaN,0,1,9.54224105200046,9.69236295800147,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,,,,-13041.073745177,,,
10,1,0,8116.jpg,10.789546850001,11.4213846340008,12.9178661410006,0.631837783999799,1.49648150699977,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,,,,-13041.073745177,,,
11,1,0,7237.jpg,-1.73264987899893,-1.10048396899947,0.295383541000774,0.632165909999458,1.39586751000024,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,,14.5137258920004,0.149181221000617,-13041.073745177,-13036.783510426,-13051.148055097,
12,1,0,7496.jpg,0.313272377999965,0.94498801500049,3.33928534799998,0.631715637000525,2.39429733299949,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,,,,-13041.073745177,-13036.783510426,-13051.148055097,
13,1,0,4525.jpg,3.3560648670009,4.00427298800059,5.48436699000013,0.648208120999698,1.48009400199953,NaN,1,1,3.97159735199966,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,
14,1,0,4001.jpg,-0.284174697000708,0.347526453000683,1.3452870000001,0.63170115000139,0.997760546999416,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,5.78375091700036,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
15,1,0,7820.jpg,1.36183624799924,1.99387867000041,3.58987550399979,0.632042422001177,1.59599683399938,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
16,1,0,2312.jpg,3.60689146000004,4.23845632300072,5.83484628500082,0.631564863000676,1.5963899620001,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
17,1,0,4530.jpg,5.8512250549993,6.48340827299944,7.47996244100068,0.632183218000137,0.996554168001239,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
18,1,0,2850.jpg,7.49752725899998,8.12954984499993,9.52601884700016,0.632022585999948,1.39646900200023,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
19,1,0,2850.jpg,9.5428179139999,10.1744227519994,11.9704825379995,0.631604837999475,1.79605978600011,NaN,0,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
20,1,0,7180.jpg,11.987025896,12.6179865909999,14.115215586,0.630960694999885,1.49722899500011,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
21,1,0,7830.jpg,14.1312506949998,14.7633976739999,17.6570674899995,0.632146979000026,2.8936698159996,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
22,1,0,4520.jpg,17.6732818700002,18.3053191889994,19.9016169610004,0.63203731899921,1.59629777200098,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
23,1,0,4000.jpg,19.9181625599995,20.5500100400004,21.3481927939993,0.631847480000943,0.798182753998844,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
24,1,0,4180.jpg,21.3650020179994,21.9968742439996,23.2933942399995,0.631872226000269,1.29651999599992,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
25,1,0,4003.jpg,23.3103368749998,23.9422312160004,26.0370222490001,0.631894341000589,2.09479103299964,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
26,1,0,2850.jpg,26.0538262999999,26.6855201580001,27.7828145929998,0.63169385800029,1.09729443499964,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
27,1,0,4520.jpg,27.7991028760007,28.4304236949993,29.2296952600009,0.631320818998574,0.799271565001618,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
28,1,0,9045.jpg,29.2463101590001,29.8781284260003,32.8708923070008,0.631818267000199,2.99276388100043,NaN,1,1,,,15.3281793139995,15.4942095360002,19.767241472,19.917363378001,28.8629684789994,,,-13041.073745177,-13036.783510426,-13051.148055097,-13045.513485401
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
