Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
265,1,0,7180.jpg,22.0823645224427,22.6000271081903,23.0941396802318,NaN,1,,,,
266,1,0,8050.jpg,23.1059091024354,23.6235650469771,24.6235656507233,NaN,1,,,,
267,1,0,7830.jpg,24.6353344691806,25.1529858856284,26.4471109552105,NaN,1,,,,
268,1,0,4520.jpg,26.4588746418276,26.9765429631607,28.1765407293005,NaN,1,,,,
269,1,0,4003.jpg,28.188302906553,28.7059700203945,31.1059836650511,NaN,1,,,,
270,1,0,2850.jpg,31.1177467479229,31.6354035980839,31.9295153852563,NaN,1,,,,
271,1,0,7496.jpg,31.9412950711394,32.4589733542789,33.658944555601,NaN,1,,,,
272,1,0,7496.jpg,33.6707064309803,34.1883681111085,36.4825272923326,0.74126772145064,1,,,,
273,1,0,8116.jpg,36.4942725647006,37.011918849309,39.1060549070653,NaN,1,,,,
274,1,0,4180.jpg,39.1178191974286,39.6354857075239,39.729587049892,NaN,1,,,,
275,1,0,4000.jpg,39.7413561702224,40.2590063791786,42.6590251556754,NaN,1,,,,
276,1,0,5535.jpg,42.6707885404203,43.1884484093107,43.8825671999357,NaN,1,,,,
277,1,0,4530.jpg,43.8943299809334,44.4119973966481,46.6120048227222,NaN,1,,,,
278,1,0,7130.jpg,46.6237790748919,47.1414235482625,48.7414355628061,NaN,1,,,,
279,1,0,7830.jpg,48.7532119280868,49.2708579108221,49.8708554354635,NaN,1,,,,
280,1,0,7820.jpg,49.8826212351914,50.4002780853525,52.6002927563777,NaN,1,,,,
281,1,0,4180.jpg,52.6120579523595,53.1297141987752,55.0238434342027,NaN,1,52.9180164412082,,,
282,1,0,7180.jpg,55.0356140638978,55.5532769515175,57.0473937497809,NaN,1,,,,
283,1,0,4530.jpg,57.0591571345258,55.5532769515175,57.576807343482,NaN,1,,,,
284,1,0,4530.jpg,57.5885722375906,58.1062315027357,58.7062426116599,0.682464683884973,1,,,,
285,1,0,7496.jpg,58.7179921102488,59.2356595259625,61.3297841125477,NaN,1,59.6475059861405,,,
286,1,0,9045.jpg,-0.7531500441346,-0.235492590227295,1.65863604145488,NaN,1,,,62.0945786034872,
287,1,0,4520.jpg,1.67040335054753,2.18807046438906,4.68222560051527,NaN,1,,,,
288,1,0,4003.jpg,4.69395909983905,5.21162832679056,7.1057466947932,NaN,1,,,,
289,1,0,6314.jpg,7.11751641886895,7.63516904280914,8.23516928430672,NaN,1,,,,
290,1,0,2850.jpg,8.24693327279692,8.76459012295891,11.0587242487281,NaN,1,,,,
291,1,0,4000.jpg,11.0704888409646,11.5881635016294,13.9881614488932,NaN,1,,,,
292,1,0,7130.jpg,13.9999308710958,14.5175856081469,15.1175852458991,NaN,1,,,,
293,1,0,5535.jpg,15.1293483287709,15.6470009527102,17.5411368293435,NaN,1,,,,
294,1,0,4001.jpg,17.5646645044508,18.0823243733412,19.9764533068965,NaN,1,,,,
295,1,0,4490.jpg,19.9882224272269,20.5058762586586,22.4000039847224,NaN,1,,,,
296,1,0,8116.jpg,22.4117691807041,22.9294375020372,24.3294345436825,NaN,1,,,,
297,1,0,7237.jpg,24.3412172482949,24.8588571935716,26.9529872138692,NaN,1,,,,
298,1,0,7190.jpg,26.9647566360727,27.4824198255656,27.8824093203866,NaN,1,,,,
299,1,0,4525.jpg,27.894178440717,28.4118280459279,29.2118601652082,NaN,1,,,,
300,1,0,2312.jpg,29.2236205312238,29.7412650045944,30.141253593797,NaN,1,,,,
301,1,0,8050.jpg,30.1530212047628,30.670682884891,32.4706857224965,NaN,1,,,,
302,1,0,8050.jpg,32.482450314732,33.0001089761308,33.0942217896718,NaN,0,,,,
